"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1237","Negative Path: User cannot log in with invalid user and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1207","The oldest user with the age of 66","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","14816","main blocks are visible","UI Tests","2026-03-27","passed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","854","loads all 57 entries because pagination is disabled","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","1565","number of entries >25","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1399","Top main nav links are visible","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","1601","Happy Path: User can log in with valid credentials","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1219","Negative Path: User cannot log in with valid user and uppercase password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","915","Negative Path: User cannot log in with valid user and empty password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","6049","Hero Button Find a doctor navigates to the correct URL","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","1894","authenticate and save state","setup","2026-03-27","passed","2026-03-27","","tests/setup/auth.setup.js","",""
"","1116","Can find entry by value from ""Name"" column","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1085","main login button is visible","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","3251","virtual care Get started opens new page in the same tab","UI Tests","2026-03-27","passed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","1","GET /todos - should return a list of todos","API Tests","2026-03-27","skipped","2026-03-27","PostgREST API Tests","tests/api/postgrest/postgrest.spec.js","",""
"","53","POST with JSON payload returns 200","API Tests","2026-03-27","passed","2026-03-27","Postman Echo API Tests","tests/api/postman/postman.spec.js","",""
"","1230","Negative Path: User cannot log in with valid user and invalid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","702","Mock the /entries API to display a custom Playwright Product","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze API Mocking","tests/ui/demoblaze/demoblazeMocking.spec.js","",""
"","868","Negative Path: User cannot log in with empty username and empty password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1147","The youngest user with the age of 20","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1","should allow an existing user to log in","UI Tests","2026-03-27","skipped","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1231","Negative Path: User cannot log in with invalid username with special characters and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1702","landing page title","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","3845","virtual care option has all elements visible","UI Tests","2026-03-27","passed","2026-03-27","Same-day care navigation menu","tests/ui/sharp/sameDayCare.spec.js","",""
"","872","verify specific cell data - Tiger Nixon","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","0","all top nav links are clickable, active, open dropdowns or navigate correctly","UI Tests","2026-03-27","skipped","2026-03-27","Amplify Top Navigation","tests/ui/amplify/amplify-nav.spec.js","",""
"","0","POST /todos - should create a new todo","API Tests","2026-03-27","skipped","2026-03-27","PostgREST API Tests","tests/api/postgrest/postgrest.spec.js","",""
"","113","GET with 2 query parameters returns 200","API Tests","2026-03-27","passed","2026-03-27","Postman Echo API Tests","tests/api/postman/postman.spec.js","",""
"","1205","verifies table headers","UI Tests","2026-03-27","passed","2026-03-27","Zero Config table","tests/ui/datatables/zeroConfig.spec.js","",""
"","1231","Negative Path: User cannot log in with space username and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","949","Negative Path: User cannot log in with empty user and valid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1317","Negative Path: User cannot log in with valid user and space password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
"","1015","Verify user is already logged in via storageState","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Authenticated Tests","tests/ui/demoblaze/demoblazeAuthenticated.spec.js","",""
"","1261","default disabled features are hidden","UI Tests","2026-03-27","passed","2026-03-27","Feature enable / disable table","tests/ui/datatables/featureEnableDisable.spec.js","",""
"","2389","Hero has corect header and subheader","UI Tests","2026-03-27","passed","2026-03-27","Sharp Homepage","tests/ui/sharp/homepage.spec.js","",""
"","1236","Negative Path: User cannot log in with valid user and very long invalid password","UI Tests","2026-03-27","passed","2026-03-27","Demoblaze Login Tests","tests/ui/demoblaze/demoblazeLogin.spec.js","",""
